00021900240000002636X;24/12/2013;0000000003060
000219002400000027897;24/12/2013;0000000003060
000219002400000033943;24/12/2013;0000000002000
000219002400000034338;24/12/2013;0000000002000
000219002400000034567;24/12/2013;0000000002000
000219002400000034575;24/12/2013;0000000002000
000219002400000033897;26/12/2013;0000000002000
000219002400000033927;26/12/2013;0000000002000
000219002400000033994;26/12/2013;0000000002000
00021900240000003401X;26/12/2013;0000000002000
000219002400000034109;26/12/2013;0000000002000
000219002400000034125;26/12/2013;0000000002000
00021900240000003432X;26/12/2013;0000000002000
000219002400000034362;26/12/2013;0000000002040
000219002400000034532;26/12/2013;0000000002000
000219002400000034648;26/12/2013;0000000002000
000219002400000034710;26/12/2013;0000000002000
00021900240000003480X;26/12/2013;0000000002000
000219002400000034303;27/12/2013;0000000002000
00021900240000003446X;27/12/2013;0000000002000
000219002400000034621;27/12/2013;0000000002000
000219002400000034672;27/12/2013;0000000002000
000219002400000034729;27/12/2013;0000000002000
000219002400000034745;27/12/2013;0000000002000
000219002400000034753;27/12/2013;0000000002000
000219002400000034818;27/12/2013;0000000002000
000219002400000034834;27/12/2013;0000000002000
000219002400000034850;27/12/2013;0000000002000
000219002400000034931;27/12/2013;0000000002000
000219002400000034966;27/12/2013;0000000002000
000219002400000035008;27/12/2013;0000000002000
000219002400000035164;27/12/2013;0000000002000
000219002400000035202;27/12/2013;0000000002000
000219002400000035210;27/12/2013;0000000002000
000219002400000035229;27/12/2013;0000000002000
000219002400000035407;27/12/2013;0000000002000
000219002400000035431;27/12/2013;0000000002000
