000219002400000032319;20/12/2013;0000000002000
000219002400000032548;20/12/2013;0000000002000
00021900240000003270X;20/12/2013;0000000002000
000219002400000032750;20/12/2013;0000000002000
000219002400000033366;20/12/2013;0000000002000
000219002400000033471;20/12/2013;0000000002000
000219002400000033595;20/12/2013;0000000002000
000219002400000033676;20/12/2013;0000000002000
000219002400000033811;20/12/2013;0000000002000
000219002400000033838;20/12/2013;0000000002000
000219002400000033889;20/12/2013;0000000002000
