000219002400000050252;17/02/2014;0000000003000
000219002400000050260;17/02/2014;0000000003000
000219002400000050279;17/02/2014;0000000003000
000219002400000050287;17/02/2014;0000000003000
000219002400000050317;17/02/2014;0000000003000
000219002400000050325;17/02/2014;0000000003000
000219002400000050341;17/02/2014;0000000003000
000219002400000050368;17/02/2014;0000000003000
000219002400000050430;17/02/2014;0000000003000
000219002400000050538;17/02/2014;0000000003000
000219002400000050562;17/02/2014;0000000003000
000219002400000050600;17/02/2014;0000000003000
000219002400000050740;17/02/2014;0000000003000
000219002400000050767;17/02/2014;0000000003000
000219002400000050864;17/02/2014;0000000003000
000219002400000050902;17/02/2014;0000000003000
000219002400000050961;17/02/2014;0000000003000
00021900240000005102X;17/02/2014;0000000003000
000219002400000051100;17/02/2014;0000000003000
00021900240000005116X;17/02/2014;0000000003000
000219002400000051208;17/02/2014;0000000003000
000219002400000051224;17/02/2014;0000000003000
000219002400000051275;17/02/2014;0000000003000
000219002400000051283;17/02/2014;0000000003000
000219002400000051453;17/02/2014;0000000003000
000219002400000051526;17/02/2014;0000000003000
000219002400000051542;17/02/2014;0000000003000
000219002400000051577;17/02/2014;0000000003000
000219002400000051682;17/02/2014;0000000003000
000219002400000051836;17/02/2014;0000000003000
000219002400000051844;17/02/2014;0000000003000
000219002400000051879;17/02/2014;0000000003000
00021900240000005200X;17/02/2014;0000000003000
000219002400000052115;17/02/2014;0000000003000
000219002400000052239;17/02/2014;0000000003000
000219002400000072809;17/02/2014;0000000003000
000219002400000073236;17/02/2014;0000000003000
000219002400000073317;17/02/2014;0000000003000
000219002400000073503;17/02/2014;0000000003000
