000219002400000025479;11/12/2013;0000000006000
00021900240000002586X;11/12/2013;0000000003060
000219002400000028656;11/12/2013;0000000006000
000219002400000030278;11/12/2013;0000000002000
000219002400000030286;11/12/2013;0000000002000
000219002400000030332;11/12/2013;0000000002000
000219002400000030448;11/12/2013;0000000002000
000219002400000030510;11/12/2013;0000000002000
000219002400000030839;11/12/2013;0000000002000
00021900240000003088X;11/12/2013;0000000002000
000219002400000030952;11/12/2013;0000000002000
000219002400000030987;11/12/2013;0000000002000
000219002400000031215;11/12/2013;0000000002000
000219002400000031320;11/12/2013;0000000002000
000219002400000031347;11/12/2013;0000000002000
