000219002400000050295;19/02/2014;0000000003000
000219002400000050783;19/02/2014;0000000003000
000219002400000050813;19/02/2014;0000000003000
000219002400000050856;19/02/2014;0000000003000
000219002400000050988;19/02/2014;0000000003000
000219002400000050996;19/02/2014;0000000003000
000219002400000051097;19/02/2014;0000000003000
000219002400000051135;19/02/2014;0000000003000
000219002400000051429;19/02/2014;0000000003000
000219002400000051461;19/02/2014;0000000003000
000219002400000051585;19/02/2014;0000000003000
00021900240000005164X;19/02/2014;0000000003000
000219002400000051658;19/02/2014;0000000003000
000219002400000051704;19/02/2014;0000000003000
000219002400000051909;19/02/2014;0000000003000
000219002400000051984;19/02/2014;0000000003000
000219002400000052026;19/02/2014;0000000003000
000219002400000052247;19/02/2014;0000000003000
000219002400000073333;19/02/2014;0000000003000
