000219002400000036764;08/01/2014;0000000002000
00021900240000003687X;08/01/2014;0000000002000
000219002400000036896;08/01/2014;0000000002000
000219002400000037094;08/01/2014;0000000002000
000219002400000037183;08/01/2014;0000000002000
000219002400000037256;08/01/2014;0000000002000
000219002400000037388;08/01/2014;0000000002000
000219002400000037612;08/01/2014;0000000002000
00021900240000003768X;08/01/2014;0000000002000
000219002400000037698;08/01/2014;0000000002000
00021900240000003771X;08/01/2014;0000000002000
000219002400000037736;08/01/2014;0000000002000
000219002400000038112;08/01/2014;0000000002000
00021900240000003821X;08/01/2014;0000000002000
000219002400000038228;08/01/2014;0000000002000
00021900240000003835X;08/01/2014;0000000002000
000219002400000038392;08/01/2014;0000000002000
000219002400000038414;08/01/2014;0000000002000
000219002400000038511;08/01/2014;0000000002000
000219002400000038554;08/01/2014;0000000002000
000219002400000038694;08/01/2014;0000000002000
000219002400000038848;08/01/2014;0000000002000
000219002400000038937;08/01/2014;0000000002000
000219002400000038988;08/01/2014;0000000002000
000219002400000039100;08/01/2014;0000000002000
000219002400000039445;08/01/2014;0000000002000
00021900240000003947X;08/01/2014;0000000002000
000219002400000039542;08/01/2014;0000000002000
000219002400000039623;08/01/2014;0000000002000
