000219002400000063257;23/09/2014;0000000003220
000219002400000064415;23/09/2014;0000000003188
000219002400000065306;23/09/2014;0000000003160
000219002400000065659;23/09/2014;0000000003000
000219002400000065950;23/09/2014;0000000003100
000219002400000066221;23/09/2014;0000000003126
000219002400000066469;23/09/2014;0000000003126
000219002400000090394;23/09/2014;0000000002500
000219002400000090432;23/09/2014;0000000002500
000219002400000090440;23/09/2014;0000000002500
00021900240000009053X;23/09/2014;0000000002500
000219002400000090599;23/09/2014;0000000002500
000219002400000090637;23/09/2014;0000000002500
000219002400000090645;23/09/2014;0000000002500
000219002400000090696;23/09/2014;0000000002500
000219002400000090718;23/09/2014;0000000002500
000219002400000090823;23/09/2014;0000000002500
