000219002400000108390;12/08/2015;0000000003670
000219002400000110557;12/08/2015;0000000003500
000219002400000110670;12/08/2015;0000000003500
000219002400000110697;12/08/2015;0000000003500
000219002400000110700;12/08/2015;0000000003500
000219002400000110824;12/08/2015;0000000003500
000219002400000110948;12/08/2015;0000000003500
000219002400000111057;12/08/2015;0000000003500
00021900240000011109X;12/08/2015;0000000003500
000219002400000111219;12/08/2015;0000000003500
00021900240000011126X;12/08/2015;0000000003500
000219002400000111367;12/08/2015;0000000003500
000219002400000111375;12/08/2015;0000000003500
000219002400000111383;12/08/2015;0000000003500
000219002400000111707;12/08/2015;0000000003500
000219002400000111715;12/08/2015;0000000007000
