000219002400000062552;11/08/2014;0000000003000
000219002400000062560;11/08/2014;0000000003000
000219002400000062714;11/08/2014;0000000003000
000219002400000062730;11/08/2014;0000000003000
000219002400000062870;11/08/2014;0000000003000
000219002400000063095;11/08/2014;0000000003000
000219002400000063206;11/08/2014;0000000003000
000219002400000063524;11/08/2014;0000000003000
000219002400000063753;11/08/2014;0000000003000
000219002400000064202;11/08/2014;0000000003000
000219002400000064458;11/08/2014;0000000003000
000219002400000064482;11/08/2014;0000000003000
000219002400000064555;11/08/2014;0000000003000
000219002400000074798;11/08/2014;0000000003000
00021900240000007772X;11/08/2014;0000000003000
000219002400000077975;11/08/2014;0000000003000
000219002400000077983;11/08/2014;0000000003300
000219002400000086281;11/08/2014;0000000024720
000219002400000087717;11/08/2014;0000000023500
000219002400000088187;11/08/2014;0000000024220
